Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Aravind (UAE),2022-2022,3,3,0,48,21,16.00,71,67.6,-,-,-,3,0
CP Rizwan (UAE),2022-2022,3,3,1,45,43*,22.50,34,132.35,-,-,-,3,1
PA van Meekeren (NED),2022-2022,8,4,1,45,24,15.00,27,166.66,-,-,1,6,1
RW Chakabva (ZIM),2022-2022,8,8,0,45,15,5.62,64,70.31,-,-,3,5,1
DA Warner (AUS),2022-2022,4,4,0,44,25,11.00,41,107.31,-,-,-,6,0
Shakib Al Hasan (BAN),2022-2022,5,5,0,44,23,8.80,46,95.65,-,-,1,3,0
JO Holder (WI),2022-2022,3,2,0,42,38,21.00,36,116.66,-,-,-,4,1
E Lewis (WI),2022-2022,3,3,0,42,15,14.00,49,85.71,-,-,-,2,1
Nurul Hasan (BAN),2022-2022,5,5,1,41,25*,10.25,42,97.61,-,-,1,2,1
JJ Smit (NAM),2022-2022,3,3,2,39,31*,39.00,23,169.56,-,-,-,3,2
R Powell (WI),2022-2022,3,3,0,39,28,13.00,35,111.42,-,-,-,2,2
Mosaddek Hossain (BAN),2022-2022,5,5,1,38,20*,9.50,39,97.43,-,-,1,2,2
H Klaasen (SA),2022-2022,2,2,0,36,21,18.00,27,133.33,-,-,-,3,1
BJ McCarthy (IRE),2022-2022,7,5,3,36,22*,18.00,33,109.09,-,-,-,1,2
KR Mayers (WI),2022-2022,3,3,0,34,20,11.33,30,113.33,-,-,-,5,1
MA Leask (SCOT),2022-2022,3,3,1,33,17*,16.50,28,117.85,-,-,-,4,0
M van Lingen (NAM),2022-2022,3,3,0,33,20,11.00,33,100.0,-,-,-,4,0
MH Cross (SCOT),2022-2022,3,3,0,32,28,10.66,33,96.96,-,-,-,5,0
C Karunaratne (SL),2022-2022,7,6,2,32,14*,8.00,38,84.21,-,-,1,3,0
Najibullah Zadran (AFG),2022-2022,3,3,0,31,18,10.33,29,106.89,-,-,1,1,1
T Stubbs (SA),2022-2022,4,3,0,31,18,10.33,31,100.0,-,-,-,2,1
Basil Hameed (UAE),2022-2022,3,3,1,31,25*,15.50,24,129.16,-,-,-,3,2
MR Adair (IRE),2022-2022,7,5,0,28,11,5.60,31,90.32,-,-,1,1,1
MJ Santner (NZ),2022-2022,5,3,2,27,16*,27.00,16,168.75,-,-,1,0,2
Chirag Suri (UAE),2022-2022,2,2,0,26,14,13.00,39,66.66,-,-,-,4,0
TH David (AUS),2022-2022,3,2,1,26,15*,26.00,18,144.44,-,-,-,2,1
R Trumpelmann (NAM),2022-2022,1,1,1,25,25*,-,24,104.16,-,-,-,1,1
Shariz Ahmad (NED),2022-2022,2,2,1,25,16*,25.00,19,131.57,-,-,-,3,0
N Pooran (WI),2022-2022,3,3,0,25,13,8.33,29,86.2,-,-,-,0,1
OF Smith (WI),2022-2022,3,3,2,25,19*,25.00,22,113.63,-,-,-,1,2
PWH de Silva (SL),2022-2022,8,6,1,25,9,5.00,34,73.52,-,-,-,2,0
AJ Hosein (WI),2022-2022,3,2,1,24,23*,24.00,19,126.31,-,-,-,2,0
Aayan Afzal Khan (UAE),2022-2022,3,2,0,24,19,12.00,28,85.71,-,-,-,1,0
Taskin Ahmed (BAN),2022-2022,5,4,1,23,12*,7.66,30,76.66,-,-,1,2,1
Shaheen Shah Afridi (PAK),2022-2022,7,3,1,22,16,11.00,12,183.33,-,-,-,2,1
PJ Cummins (AUS),2022-2022,4,2,0,21,21,10.50,20,105.0,-,-,1,2,1
B Evans (ZIM),2022-2022,2,2,0,21,19,10.50,17,123.52,-,-,-,0,1
JN Loftie-Eaton (NAM),2022-2022,3,3,0,21,20,7.00,20,105.0,-,-,1,1,2
R Ashwin (IND),2022-2022,6,4,3,21,13*,21.00,18,116.66,-,-,-,1,1
R Ngarava (ZIM),2022-2022,8,5,1,21,9,5.25,20,105.0,-,-,-,0,2
Fakhar Zaman (PAK),2022-2022,1,1,0,20,20,20.00,16,125.0,-,-,-,3,0
CN Greaves (SCOT),2022-2022,3,2,2,19,16*,-,18,105.55,-,-,-,2,0
Junaid Siddique (UAE),2022-2022,3,2,1,18,18,18.00,17,105.88,-,-,-,1,1
Mohammad Nabi (AFG),2022-2022,3,3,0,17,13,5.66,15,113.33,-,-,-,1,0
Mohammad Wasim (PAK),2022-2022,6,3,1,16,12*,8.00,22,72.72,-,-,1,2,0
JB Little (IRE),2022-2022,7,4,2,16,8*,8.00,21,76.19,-,-,1,1,1
Darwish Rasooli (AFG),2022-2022,1,1,0,15,15,15.00,13,115.38,-,-,-,1,0
Kashif Daud (UAE),2022-2022,2,2,0,15,15,7.50,18,83.33,-,-,1,0,1
MS Wade (AUS),2022-2022,4,3,1,15,7*,7.50,15,100.0,-,-,-,2,0
LV van Beek (NED),2022-2022,6,4,2,15,6*,7.50,23,65.21,-,-,-,0,0
KD Karthik (IND),2022-2022,4,3,0,14,7,4.66,22,63.63,-,-,-,1,0
KA Maharaj (SA),2022-2022,4,1,0,13,13,13.00,12,108.33,-,-,-,0,1
TL Chatara (ZIM),2022-2022,7,3,1,13,6*,6.50,19,68.42,-,-,-,1,0
SM Curran (ENG),2022-2022,6,2,1,12,6*,12.00,14,85.71,-,-,-,0,1
F Hand (IRE),2022-2022,3,3,0,12,6,4.00,11,109.09,-,-,-,2,0
Mehidy Hasan Miraz (BAN),2022-2022,1,1,0,11,11,11.00,13,84.61,-,-,-,0,0
Azmatullah Omarzai (AFG),2022-2022,2,2,1,11,8,11.00,10,110.0,-,-,-,1,0
M Theekshana (SL),2022-2022,8,3,2,11,11*,11.00,14,78.57,-,-,1,0,1
PD Salt (ENG),2022-2022,2,1,0,10,10,10.00,9,111.11,-,-,-,2,0
K Rabada (SA),2022-2022,5,2,1,10,9*,10.00,10,100.0,-,-,-,0,0
Haris Rauf (PAK),2022-2022,7,3,2,10,6*,10.00,7,142.85,-,-,-,0,1
FJ Klaassen (NED),2022-2022,8,4,1,10,7*,3.33,11,90.9,-,-,2,0,0
Mustafizur Rahman (BAN),2022-2022,5,2,2,9,9*,-,4,225.0,-,-,-,0,1
PVD Chameera (SL),2022-2022,2,2,1,9,8,9.00,16,56.25,-,-,-,0,0
RR Pant (IND),2022-2022,2,2,0,9,6,4.50,9,100.0,-,-,-,1,0
D la Cock (NAM),2022-2022,2,2,0,9,9,4.50,11,81.81,-,-,1,1,0
AR Patel (IND),2022-2022,5,3,1,9,7,4.50,9,100.0,-,-,-,1,0
CAK Rajitha (SL),2022-2022,3,1,1,8,8*,-,21,38.09,-,-,-,0,0
